,T.NAGAR,SAIDAPET  ,GUINDY    ,CONCORDE  ,JN.OF R.C ,GURUNANAK ,VELACHERY ,TARAMANI  ,ANNA UNIVE,WPTC      ,SRP TOOLS ,KANDANCHAV,THORAIPAKK,MOOTAIKARA,KARAPAKKAM,SHOZHINGAN,KUMARAN NA,NUCLEUS CO,PERUMBAKKA,CHEMMANCHE,NAVALUR   ,CHURCH    ,SIRUCHERI ,PAL. CHEMI,HINDUSTAN ,KELAMBAKKA,CHENGAMMAL,KALAVAKKAM,THIRUPPORU,TripStartDate,Depot,Source,Destination,Direction,Schedule_Name,Route,Service_type,ETMNO,FLEETNO,TripNo,TripStartTime,TripEndTime,First_Ticket_Stage
T.NAGAR,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
SAIDAPET  ,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
GUINDY    ,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
CONCORDE  ,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
JN.OF R.C ,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
GURUNANAK ,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
VELACHERY ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
TARAMANI  ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
ANNA UNIVE,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
WPTC      ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
SRP TOOLS ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,2020-06-23 07:26:25
KANDANCHAV,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,6.266666666666667,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,2020-06-23 07:20:09
THORAIPAKK,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,10.883333333333333,4.616666666666666,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,2020-06-23 07:15:32
MOOTAIKARA,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,16.716666666666665,10.45,5.833333333333333,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,2020-06-23 07:09:42
KARAPAKKAM,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,19.766666666666666,13.5,8.883333333333333,3.05,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,2020-06-23 07:06:39
SHOZHINGAN,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,22.95,16.683333333333334,12.066666666666666,6.233333333333333,3.183333333333333,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,2020-06-23 07:03:28
KUMARAN NA,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,28.5,22.233333333333334,17.616666666666667,11.783333333333333,8.733333333333333,5.55,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,2020-06-23 06:57:55
NUCLEUS CO,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
PERUMBAKKA,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
CHEMMANCHE,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
NAVALUR   ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,34.266666666666666,28.0,23.383333333333333,17.55,14.5,11.316666666666666,5.766666666666667,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,2020-06-23 06:52:09
CHURCH    ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
SIRUCHERI ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
PAL. CHEMI,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
HINDUSTAN ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,42.56666666666667,36.3,31.683333333333334,25.85,22.8,19.616666666666667,14.066666666666666,-2.0,-2.0,-2.0,8.3,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,2020-06-23 06:43:51
KELAMBAKKA,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,48.3,42.03333333333333,37.416666666666664,31.583333333333332,28.533333333333335,25.35,19.8,-2.0,-2.0,-2.0,14.033333333333333,-2.0,-2.0,-2.0,5.733333333333333,0.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,2020-06-23 06:38:07
CHENGAMMAL,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
KALAVAKKAM,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
THIRUPPORU,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,2,2020-06-23 06:17:00,0.31736111100000003,
T.NAGAR,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,
SAIDAPET  ,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,
GUINDY    ,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,
CONCORDE  ,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,
JN.OF R.C ,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,
GURUNANAK ,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,
VELACHERY ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,
TARAMANI  ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,
ANNA UNIVE,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,
WPTC      ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,2020-06-23 10:54:03
SRP TOOLS ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.1666666666666665,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,2020-06-23 10:51:53
KANDANCHAV,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17.133333333333333,14.966666666666667,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,2020-06-23 10:36:55
THORAIPAKK,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,
MOOTAIKARA,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,28.25,26.083333333333332,11.116666666666667,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,2020-06-23 10:25:48
KARAPAKKAM,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,36.93333333333333,34.766666666666666,19.8,-2.0,8.683333333333334,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,2020-06-23 10:17:07
SHOZHINGAN,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,38.416666666666664,36.25,21.283333333333335,-2.0,10.166666666666666,1.4833333333333334,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,2020-06-23 10:15:38
KUMARAN NA,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,51.13333333333333,48.96666666666667,34.0,-2.0,22.883333333333333,14.2,12.716666666666667,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,2020-06-23 10:02:55
NUCLEUS CO,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,
PERUMBAKKA,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,
CHEMMANCHE,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,55.55,53.38333333333333,38.416666666666664,-2.0,27.3,18.616666666666667,17.133333333333333,4.416666666666667,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,2020-06-23 09:58:30
NAVALUR   ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,58.56666666666667,56.4,41.43333333333333,-2.0,30.316666666666666,21.633333333333333,20.15,7.433333333333334,-2.0,-2.0,3.0166666666666666,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,2020-06-23 09:55:29
CHURCH    ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,
SIRUCHERI ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,
PAL. CHEMI,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,
HINDUSTAN ,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,75.28333333333333,73.11666666666666,58.15,-2.0,47.03333333333333,38.35,36.86666666666667,24.15,-2.0,-2.0,19.733333333333334,16.716666666666665,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,20052019,SAIDAPET  ,KELAMBAKKA,SAIDAPET  ,DOWN,19B-I-AS-MDE,19B,MDE,MP01276L,I2416,4,2020-06-23 09:15:59,0.461111111,2020-06-23 09:38:46
